tiff_file,start_date,end_date,precipitation_sum
NDMI_2024-08-26_to_2024-09-02.tif,2024-08-26,2024-09-02,74.58
NDMI_2024-09-09_to_2024-09-16.tif,2024-09-09,2024-09-16,0.0
NDMI_2024-09-16_to_2024-09-23.tif,2024-09-16,2024-09-23,0.0
NDMI_2024-09-23_to_2024-09-30.tif,2024-09-23,2024-09-30,0.0
NDMI_2024-09-30_to_2024-10-07.tif,2024-09-30,2024-10-07,0.0
NDMI_2024-10-07_to_2024-10-14.tif,2024-10-07,2024-10-14,0.0
NDMI_2024-10-21_to_2024-10-28.tif,2024-10-21,2024-10-28,0.0
NDMI_2024-10-28_to_2024-11-04.tif,2024-10-28,2024-11-04,0.0
NDMI_2024-11-04_to_2024-11-11.tif,2024-11-04,2024-11-11,0.0
NDMI_2024-11-11_to_2024-11-18.tif,2024-11-11,2024-11-18,0.0
NDMI_2024-11-18_to_2024-11-25.tif,2024-11-18,2024-11-25,0.0
NDMI_2024-11-25_to_2024-12-02.tif,2024-11-25,2024-12-02,0.0
NDMI_2024-12-02_to_2024-12-09.tif,2024-12-02,2024-12-09,0.0
NDMI_2024-12-09_to_2024-12-16.tif,2024-12-09,2024-12-16,0.0
